GlobalId,IfcRoomId,Story,SpaceBooking.AllowedEventTypes,SpaceBooking.BookableByRole,SpaceBooking.ExistingEquipment,SpaceBooking.IsBookable,SpaceBooking.IsEnclosedSpace,SpaceBooking.MaxOccupancy,SpaceBooking.NoiseSensitivity
3wL4rtf_daGv0WtVFJDRZ3,R-37,UG,SCREENING; PARTY; EXHIBITION,STUDENT; WORKER,PROJECTOR; POWER_OUTLETS,True,True,50.0,NOT_SENSITIVE
3$eY$zuzKvJhgUACtqpWAB,R-38,UG,SCREENING; PARTY; EXHIBITION,STUDENT; WORKER,PROJECTOR; POWER_OUTLETS,True,True,50.0,NOT_SENSITIVE
1Ivr_eLtxlHwA0teRYNbuH,R-01,EG,PARTY; EXHIBITION,STUDENT; WORKER,POWER_OUTLETS; WIFI_ROUTER,True,True,50.0,NOT_SENSITIVE
2J9aaC0B4EGuu2cuOWSwQn,R-02,EG,PRESENTATION; WORKSHOP; CLUB_EVENT; SCREENING; PARTY,STUDENT; WORKER,WHITEBOARD; PROJECTOR; POWER_OUTLETS; WIFI_ROUTER; CHAIRS,True,True,72.0,NOT_SENSITIVE
0VWvX5QV98IAo9oiUwVPQ1,R-18,EG,NONE,NO_ONE,NONE,False,False,20.0,NOT_SENSITIVE
3l$qTs61_kGeZIQucJQcLH,R-05,EG,,STUDENT,,True,True,,NOT_SENSITIVE
0TyHSp7e57JRTHWiYV9zdy,R-31,EG.Z.1,NONE,NO_ONE,WIFI_ROUTER; TABLES; CHAIRS,False,False,13.0,SENSITIVE
14l8OV9dK4GR8q3gaSvyX1,R-32,EG.Z.1,NONE,NO_ONE,WIFI_ROUTER; TABLES; CHAIRS,False,False,13.0,SENSITIVE
3MUlwQ_JKXGe4w$3f1zVWI,R-47,EG,MEETING; NONE,NO_ONE,POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,False,False,50.0,NOT_SENSITIVE
0NOy8JDON$HufFES5hfe9l,R-33,EG.Z.1,NONE,NO_ONE,WIFI_ROUTER; CHAIRS; PIANO; LOCKERS,False,False,8.0,NOT_SENSITIVE
0Uc0GNaSrKHgVLWGtC0Cnr,R-04,1.OG,MEETING; PRESENTATION; WORKSHOP,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,10.0,SENSITIVE
2ESuA5GNxLJA6I1OwZNrAZ,R-03,1.OG,MEETING; WORKSHOP; CLUB_EVENT,STUDENT,WHITEBOARD; POWER_OUTLETS; WIFI_ROUTER; TABLES; CHAIRS,True,True,20.0,NOT_SENSITIVE
